127.0.0.1 - - [30/Aug/2023:09:56:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:42 +0900] "GET /app/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/main.jsp HTTP/1.1" 200 15188
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/js/jquery.dropotron.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/images/pic01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/images/pic02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/images/pic05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/images/pic04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/images/pic03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:43 +0900] "GET /app/assets/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:46 +0900] "GET /app/infoListPage.do HTTP/1.1" 200 7974
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:48 +0900] "GET /app/boardDetailPage.do?boardNum=10000 HTTP/1.1" 200 18808
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:50 +0900] "GET /app/loginPage.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:56:50 +0900] "GET /app/loginPage.jsp HTTP/1.1" 200 6383
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:57:01 +0900] "POST /app/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:57:01 +0900] "POST /app/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:57:01 +0900] "GET /app/main.jsp HTTP/1.1" 200 15257
0:0:0:0:0:0:0:1 - - [30/Aug/2023:09:57:01 +0900] "GET /app/assets/js/main2.js HTTP/1.1" 304 -
