127.0.0.1 - - [13/Sep/2023:21:20:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:55 +0900] "GET /app/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:57 +0900] "GET /app/main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/main.jsp HTTP/1.1" 200 12586
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/assets/css/main.css HTTP/1.1" 200 49481
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/assets/js/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/images/pic01.jpg HTTP/1.1" 200 5414
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/assets/js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/assets/css/fontawesome-all.min.css HTTP/1.1" 200 59401
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/assets/js/jquery.dropotron.min.js HTTP/1.1" 200 5106
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/assets/js/nav.util.js HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/assets/js/main.js HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/images/pic02.jpg HTTP/1.1" 200 5566
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/images/pic04.jpg HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/assets/js/browser.min.js HTTP/1.1" 200 2051
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/images/pic03.jpg HTTP/1.1" 200 5404
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:58 +0900] "GET /app/images/pic05.jpg HTTP/1.1" 200 19182
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:59 +0900] "GET /app/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 76736
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:59 +0900] "GET /app/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:59 +0900] "GET /app/assets/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13224
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:20:59 +0900] "GET /app/assets/css/images/favicon.ico HTTP/1.1" 200 15406
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:21:13 +0900] "GET /app/signupPage.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:21:14 +0900] "GET /app/signupPage.jsp HTTP/1.1" 200 5876
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:21:17 +0900] "GET /app/loginPage.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:21:18 +0900] "GET /app/loginPage.jsp HTTP/1.1" 200 18858
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:21:21 +0900] "POST /app/login.do HTTP/1.1" 500 8886
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:21:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:21:26 +0900] "POST /app/login.do HTTP/1.1" 500 8886
0:0:0:0:0:0:0:1 - - [13/Sep/2023:21:21:38 +0900] "GET /app/boardListPage.do HTTP/1.1" 500 8890
